id,key,ja,en
3811124920320,GameName,TBH: タスクバーヒーロー,TBH: Task Bar Hero
3811296886784,GameName_Demo,TBH: タスクバーヒーロー (体験版),TBH: Task Bar Hero (Demo)
3811296886785,Setting,設定,Settings
3811296886786,Language,言語,Language
3811301081088,Confirm,確認,Confirm
3811301081089,ExitGame,ゲーム終了,Exit Game
3811301081090,Popup_Cancel,キャンセル,Cancel
53031585400803328,AlwaysOnTop,常に最前面,Always on Top
3811301081092,AlwaysOnTop(Off),常に最前面（オフ）,Always on Top (Off)
3811301081093,AlwaysOnTop(ON),常に最前面（オン）,Always on Top (On)
120046677468454912,Mute_On,ミュート (オン),Mute (On)
120046677497815040,Mute_Off,ミュート (オフ),Mute (Off)
120046677497815041,OpenStore,ショップ,Store
53205179800014848,LaunchAtStartup,デスクトップ起動時に実行,Launch at Desktop Startup
53205179938426880,Version,バージョン {0},Version {0}
3811301081094,General,一般,General
3811301081095,Graphic,グラフィック,Graphic
3811301081096,Audio,オーディオ,Audio
53205179942621184,Other,その他,Others
3811301081097,Control,コントロール,Controls
53208443606061056,Setting_Credits,クレジット,Credits
53208443606061057,Setting_MaxFPS,最大FPS,Max FPS
53208443606061058,Setting_Zoom,ウィンドウスケール,Window Scale
53208443606061059,Setting_RestoreTransparentWindow,透明ウィンドウを復元,Restore Transparent Window
53208443606061060,Setting_ResetWindowPosition,"ウィンドウ位置を復元
(Shift + F12)","Restore Window Position
(Shift + F12)"
59416870724358144,Setting_ResetWindowScale,"ウィンドウスケールを復元
(Shift + F11)","Restore Window Scale
(Shift + F11)"
53206922931785728,Restore,復元,Restore
53206922931785729,Reset,リセット,Reset
53211012122333184,Report,報告,Report
53211012126527488,Open,開く,Open
53211012126527489,View,表示,View
3811301081100,StartGame,ゲーム開始,Start Game
56885621279477760,SteamTradeShip,Steam交易船,SteamTradeShip
15232910148091904,Bag,インベントリ,Inventory
15232910303281152,Arrange,編成,Formation
15321506674753536,Menu,メニュー [Tab],Menu [Tab]
15321506674753537,Chest,倉庫,Stash
15321506674753538,Status,ステータス,Status
15321506674753539,Cube,キューブ,Cube
15321506674753540,Rune,ルーン,Rune
15321506674753541,Portal,ポータル,Portal
52997715154489344,Mailbox,メールボックス,Mailbox
52998296438886400,SteamInventory,Steam インベントリ,Steam Inventory
52998296438886401,SteamMarket,Steam マーケット,Steam Market
56847898535579648,Inventory,インベントリ,Inventory
56847898673991680,Market,マーケット,Market
52997715154489345,BattleRecords,戦闘記録,Battle Record
79070331375128576,Price,価格,Price
15321506674753542,Close,閉じる,Close
15321506674753543,Details,詳細,Details
15321506674753544,Class,クラス,Class
15321506674753545,Level,レベル,Level
15321506674753546,Exp,経験値,Exp
120046677502009344,HoldDirectMoveRudder_Title,移動位置,Move Position
15232910303281153,SYNTHESIS,合成,Synthesis
52559540686737408,DECORATION,装飾,Decoration
52559540867092480,ENGRAVING,彫刻,Engraving
52559540867092481,INSCRIPTION,碑文,Inscription
15232910303281154,ALCHEMY,錬金術,Alchemy
15232910303281155,CRAFTING,クラフト,Crafting
121399032823091200,OFFERING,祈願,Offering
121399032852451328,EXTRACTION,除去,Removal
53218383418675200,Difficulty_NORMAL,ノーマル,Normal
53218383418675201,Difficulty_NIGHTMARE,ナイトメア,Nightmare
53218383418675202,Difficulty_HELL,ヘル,Hell
53218383418675203,Difficulty_TORMENT,トーメント,Torment
53223622809014272,StashItemFilterType_ALL,すべての種類,All Types
53223622809014273,StashItemFilterType_WEAPON,武器,Weapon
126535985234780160,StashItemFilterType_ARMOR,防具,Armor
53223622809014275,StashItemFilterType_ACCESSORY,アクセサリー,Accessories
53223622809014276,StashItemFilterType_MATERIAL,素材,Materials
53223622809014277,StashItemFilterType_CLASS_KNIGHT,クラス - ナイト,Class - Knight
53223622813208576,StashItemFilterType_CLASS_ARCHER,クラス - レンジャー,Class - Ranger
53223622813208577,StashItemFilterType_CLASS_SORCERER,クラス - ソーサラー,Class - Sorcerer
53223622813208578,Grade_ALL,すべてのグレード,All Grades
15268876971786240,Grade_COMMON,コモン,Common
15268876971786241,Grade_UNCOMMON,アンコモン,Uncommon
15268876975980544,Grade_RARE,レア,Rare
15268876975980545,Grade_LEGENDARY,レジェンダリー,Legendary
15268876975980546,Grade_IMMORTAL,イモータル,Immortal
15268876975980547,Grade_ARCANA,アルカナ,Arcana
15268876975980548,Grade_BEYOND,ビヨンド,Beyond
15268876975980549,Grade_CELESTIAL,セレスティアル,Celestial
